zipcode,cluster,topkw
10463,2,Recreation
10034,1,Residence
10033,1,Residence
10040,4,NightLife
10032,1,Residence
10031,10,Eating
10039,1,Residence
10030,1,Residence
10027,0,NightLife
10037,2,Recreation
10024,0,NightLife
10026,1,Residence
10035,1,Residence
10025,0,NightLife
10029,0,NightLife
00083,2,Recreation
10128,0,NightLife
10023,2,Recreation
10028,0,NightLife
10021,4,NightLife
10044,3,Recreation
10036,4,NightLife
10018,4,NightLife
10020,2,Recreation
10017,0,NightLife
10001,0,NightLife
10011,4,NightLife
10016,0,NightLife
10010,4,NightLife
10014,4,NightLife
10003,4,NightLife
10002,4,NightLife
10009,4,NightLife
10012,4,NightLife
10013,4,NightLife
10007,0,NightLife
10038,0,NightLife
10006,0,NightLife
10005,1,Residence
10004,4,NightLife
10280,2,Recreation
10048,9,Education
10279,7,Entertainment
10165,7,Entertainment
10168,7,Entertainment
10055,7,Entertainment
10105,7,Entertainment
10118,9,Education
10176,7,Entertainment
10162,7,Entertainment
10019,0,NightLife
10111,1,Residence
10170,7,Entertainment
10112,7,Entertainment
10122,7,Entertainment
10107,7,Entertainment
10103,7,Entertainment
10153,7,Entertainment
10174,7,Entertainment
10166,7,Entertainment
10169,7,Entertainment
10167,7,Entertainment
10177,7,Entertainment
10172,7,Entertainment
10171,7,Entertainment
10154,7,Entertainment
10152,7,Entertainment
10270,7,Entertainment
10104,7,Entertainment
10271,7,Entertainment
10110,6,Shopping
10175,7,Entertainment
10151,7,Entertainment
10173,5,SocialServices
10178,7,Entertainment
10119,4,NightLife
10121,10,Eating
10115,7,Entertainment
10123,7,Entertainment
10106,7,Entertainment
10158,7,Entertainment
10041,3,Recreation
10120,7,Entertainment
10278,3,Recreation
10155,7,Entertainment
10022,0,NightLife
10043,7,Entertainment
10081,7,Entertainment
10096,7,Entertainment
10097,7,Entertainment
10196,8,Traveling
10275,7,Entertainment
10265,7,Entertainment
10045,7,Entertainment
10047,7,Entertainment
10080,7,Entertainment
10203,7,Entertainment
10259,7,Entertainment
10260,7,Entertainment
10285,7,Entertainment
10286,7,Entertainment
10065,1,Residence
10075,1,Residence
10069,3,Recreation
10281,7,Entertainment
10282,2,Recreation
