zipcode,cluster,topkw
10463,5,Traveling
10034,0,Eating
10033,4,Education
10040,0,Eating
10032,0,Eating
10031,2,Recreation
10039,4,Education
10030,0,Eating
10027,4,Education
10037,0,Eating
10024,0,Eating
10026,0,Eating
10035,0,Eating
10025,0,Eating
10029,0,Eating
00083,2,Recreation
10128,0,Eating
10023,0,Eating
10028,0,Eating
10021,2,Recreation
10044,2,Recreation
10036,0,Eating
10018,0,Eating
10020,2,Recreation
10017,0,Eating
10001,0,Eating
10011,0,Eating
10016,0,Eating
10010,0,Eating
10014,6,Eating
10003,0,Eating
10002,0,Eating
10009,6,Eating
10012,0,Eating
10013,0,Eating
10007,0,Eating
10038,0,Eating
10006,0,Eating
10005,0,Eating
10004,0,Eating
10280,2,Recreation
10048,5,Traveling
10279,11,Education
10165,9,Entertainment
10168,9,Entertainment
10055,11,Education
10105,11,Education
10118,4,Education
10176,8,Eating
10162,9,Entertainment
10019,0,Eating
10111,2,Recreation
10170,10,Shopping
10112,9,Entertainment
10122,9,Entertainment
10107,1,SocialServices
10103,10,Shopping
10153,7,Shopping
10174,1,SocialServices
10166,8,Eating
10169,8,Eating
10167,6,Eating
10177,9,Entertainment
10172,3,SocialServices
10171,9,Entertainment
10154,1,SocialServices
10152,3,SocialServices
10270,9,Entertainment
10104,9,Entertainment
10271,8,Eating
10110,10,Shopping
10175,1,SocialServices
10151,9,Entertainment
10173,9,Entertainment
10178,9,Entertainment
10119,6,Eating
10121,6,Eating
10115,1,SocialServices
10123,9,Entertainment
10106,9,Entertainment
10158,1,SocialServices
10041,6,Eating
10120,7,Shopping
10278,1,SocialServices
10155,9,Entertainment
10022,0,Eating
10043,9,Entertainment
10081,1,SocialServices
10096,9,Entertainment
10097,1,SocialServices
10196,3,SocialServices
10275,9,Entertainment
10265,9,Entertainment
10045,9,Entertainment
10047,3,SocialServices
10080,9,Entertainment
10203,9,Entertainment
10259,9,Entertainment
10260,7,Shopping
10285,1,SocialServices
10286,9,Entertainment
10065,0,Eating
10075,6,Eating
10069,2,Recreation
10281,1,SocialServices
10282,6,Eating
