zipcode,cluster,topkw
10463,3,Traveling
10034,0,Eating
10033,1,Recreation
10040,5,Residence
10032,0,Eating
10031,3,Traveling
10039,5,Residence
10030,0,Eating
10027,0,Eating
10037,1,Recreation
10024,1,Recreation
10026,1,Recreation
10035,3,Traveling
10025,0,Eating
10029,0,Eating
00083,1,Recreation
10128,0,Eating
10023,1,Recreation
10028,0,Eating
10021,0,Eating
10044,1,Recreation
10036,3,Traveling
10018,3,Traveling
10020,3,Traveling
10017,0,Eating
10001,3,Traveling
10011,0,Eating
10016,0,Eating
10010,1,Recreation
10014,0,Eating
10003,0,Eating
10002,0,Eating
10009,0,Eating
10012,0,Eating
10013,3,Traveling
10007,0,Eating
10038,3,Traveling
10006,2,SocialServices
10005,1,Recreation
10004,0,Eating
10280,4,Recreation
10048,3,Traveling
10279,9,Entertainment
10165,11,Eating
10168,9,Entertainment
10055,9,Entertainment
10105,7,SocialServices
10118,8,Education
10176,11,Eating
10162,9,Entertainment
10019,0,Eating
10111,9,Entertainment
10170,2,SocialServices
10112,9,Entertainment
10122,9,Entertainment
10107,7,SocialServices
10103,9,Entertainment
10153,6,Shopping
10174,7,SocialServices
10166,11,Eating
10169,9,Entertainment
10167,9,Entertainment
10177,9,Entertainment
10172,9,Entertainment
10171,9,Entertainment
10154,9,Entertainment
10152,9,Entertainment
10270,9,Entertainment
10104,9,Entertainment
10271,9,Entertainment
10110,6,Shopping
10175,9,Entertainment
10151,9,Entertainment
10173,9,Entertainment
10178,9,Entertainment
10119,10,NightLife
10121,3,Traveling
10115,9,Entertainment
10123,9,Entertainment
10106,9,Entertainment
10158,9,Entertainment
10041,4,Recreation
10120,9,Entertainment
10278,7,SocialServices
10155,9,Entertainment
10022,0,Eating
10043,9,Entertainment
10081,9,Entertainment
10096,9,Entertainment
10097,9,Entertainment
10196,4,Recreation
10275,9,Entertainment
10265,9,Entertainment
10045,9,Entertainment
10047,9,Entertainment
10080,9,Entertainment
10203,7,SocialServices
10259,9,Entertainment
10260,9,Entertainment
10285,7,SocialServices
10286,9,Entertainment
10065,0,Eating
10075,0,Eating
10069,9,Entertainment
10281,7,SocialServices
10282,7,SocialServices
