zipcode,cluster,topkw
10463,0,Eating
10034,0,Eating
10033,0,Eating
10040,0,Eating
10032,5,Residence
10031,0,Eating
10039,5,Residence
10030,0,Eating
10027,4,Education
10037,0,Eating
10024,0,Eating
10026,0,Eating
10035,0,Eating
10025,0,Eating
10029,0,Eating
00083,2,Recreation
10128,0,Eating
10023,0,Eating
10028,0,Eating
10021,0,Eating
10044,2,Recreation
10036,0,Eating
10018,0,Eating
10020,0,Eating
10017,0,Eating
10001,0,Eating
10011,0,Eating
10016,0,Eating
10010,0,Eating
10014,0,Eating
10003,0,Eating
10002,0,Eating
10009,0,Eating
10012,0,Eating
10013,0,Eating
10007,0,Eating
10038,0,Eating
10006,0,Eating
10005,0,Eating
10004,0,Eating
10280,2,Recreation
10048,3,Traveling
10279,7,Entertainment
10165,7,Entertainment
10168,7,Entertainment
10055,7,Entertainment
10105,8,SocialServices
10118,4,Education
10176,11,Eating
10162,7,Entertainment
10019,0,Eating
10111,6,Eating
10170,11,Eating
10112,7,Entertainment
10122,7,Entertainment
10107,7,Entertainment
10103,9,Shopping
10153,9,Shopping
10174,4,Education
10166,6,Eating
10169,2,Recreation
10167,6,Eating
10177,7,Entertainment
10172,7,Entertainment
10171,8,SocialServices
10154,8,SocialServices
10152,11,Eating
10270,7,Entertainment
10104,9,Shopping
10271,7,Entertainment
10110,9,Shopping
10175,7,Entertainment
10151,10,Education
10173,8,SocialServices
10178,8,SocialServices
10119,6,Eating
10121,1,Entertainment
10115,8,SocialServices
10123,7,Entertainment
10106,7,Entertainment
10158,7,Entertainment
10041,2,Recreation
10120,7,Entertainment
10278,6,Eating
10155,7,Entertainment
10022,0,Eating
10043,7,Entertainment
10081,8,SocialServices
10096,7,Entertainment
10097,10,Education
10196,8,SocialServices
10275,7,Entertainment
10265,3,Traveling
10045,7,Entertainment
10047,7,Entertainment
10080,7,Entertainment
10203,8,SocialServices
10259,7,Entertainment
10260,5,Residence
10285,7,Entertainment
10286,7,Entertainment
10065,0,Eating
10075,6,Eating
10069,2,Recreation
10281,6,Eating
10282,1,Entertainment
