yday,s1,s2,s3,s4,s5,s6,v1,v2,v3,v4,v5,v6,wday
55,-1,-1,-1,-1,-1,10019,-1,-1,-1,-1,-1,2,4
56,10003,10003,10016,10010,10016,10013,13,4,1,5,12,8,5
57,10014,10003,-1,10001,10014,10019,12,3,-1,3,8,5,6
58,10003,10014,10003,10022,10013,10003,7,6,3,6,7,9,0
59,10003,10031,10280,10003,10016,10001,5,1,1,5,5,7,1
60,10019,10011,10017,10012,10003,10001,8,2,1,4,6,11,2
61,10001,10012,10033,10003,10013,10011,18,3,1,6,5,5,3
62,10003,10021,10014,10017,10003,10011,8,2,1,4,7,9,4
63,10003,10010,10280,10036,10019,10003,12,4,1,5,7,12,5
64,10003,10011,10038,10024,10024,10003,14,9,1,8,15,15,6
65,10003,10011,10012,10017,10012,10019,13,9,2,4,6,10,0
66,10001,10014,10019,10128,10010,10016,8,5,2,2,6,7,1
67,10003,10036,10035,10003,10010,10011,8,4,2,7,6,9,2
68,10003,10013,10075,10001,10010,10036,14,2,1,4,10,7,3
69,10003,10280,10003,10017,10036,10012,20,2,2,6,10,9,4
70,10003,10036,-1,10019,10036,10036,12,5,-1,6,10,9,5
71,10003,10003,10002,10022,10003,10019,14,7,2,4,10,11,6
72,10001,10001,10001,10036,10036,10003,12,9,2,6,12,11,0
73,10019,10025,10065,10012,10003,10019,6,4,2,7,6,11,1
74,10003,10003,10003,10014,10010,10003,16,2,3,7,10,12,2
75,10003,10012,10003,10001,10003,10003,13,3,4,8,12,18,3
76,10003,10014,10016,10011,10010,10003,16,6,3,10,13,34,4
77,10003,10017,10017,10003,10003,10003,19,2,1,12,19,20,5
78,10003,10002,10003,10011,10011,10014,22,9,2,7,20,19,6
79,10003,10003,10011,10013,10014,10003,21,8,4,10,20,22,0
80,10024,10036,10025,10019,10019,10019,7,4,2,8,17,14,1
81,10019,10019,10005,10011,10003,10001,8,6,1,10,18,11,2
82,10012,10011,10281,10019,10019,10003,11,3,1,11,14,19,3
83,10003,10003,10001,10012,10011,10019,11,4,3,11,14,21,4
84,10003,10025,10009,10019,10003,10003,25,3,3,11,14,16,5
85,10003,10002,10003,10003,10003,10019,20,13,2,8,15,17,6
86,10003,10003,10001,10019,10003,10003,32,12,2,6,13,16,0
87,10003,10065,10003,10010,10011,10024,14,2,2,8,13,17,1
88,10002,10006,10017,10019,10012,10012,11,1,2,13,12,14,2
89,10003,10002,10016,10019,10003,10003,16,5,3,13,24,17,3
90,10003,10003,10019,10036,10003,10014,29,3,3,25,15,21,4
91,10003,10044,-1,10022,10011,10003,20,2,-1,6,5,14,5
92,10003,10003,10022,10012,10003,10003,30,12,5,20,39,26,6
93,10003,10002,83,83,10012,10003,18,9,2,4,18,15,0
94,10010,10011,10013,10017,10003,10003,9,4,2,10,12,25,1
95,10012,10019,10014,10003,10012,10001,14,2,3,12,13,23,2
96,10001,10036,10002,10011,10018,10003,16,3,2,14,20,29,3
97,10003,10012,10001,10019,10001,10003,30,3,2,19,7,16,4
98,10003,10021,10271,10036,10003,10019,25,3,2,8,26,19,5
99,10003,10002,10001,10003,10003,10012,30,14,2,12,25,35,6
100,10003,10002,10002,10012,10003,10003,18,15,3,8,20,20,0
101,10002,10019,10019,10022,10001,10003,11,3,2,9,16,30,1
102,10003,10036,10018,10004,10003,10003,28,6,3,13,16,24,2
103,10003,10014,10019,10022,10003,10003,16,3,2,12,23,19,3
104,10036,10019,10065,10018,10003,10012,15,4,3,15,18,20,4
105,10003,10016,10271,10003,10003,10017,24,3,1,26,32,23,5
106,10002,10002,10009,10003,10003,10003,90,28,3,15,32,30,6
107,10003,10002,10002,10003,10019,10003,33,20,2,13,20,21,0
108,10003,10019,10280,10003,10012,10003,15,2,3,10,18,19,1
109,10003,10023,10003,10128,10128,10003,12,4,3,65,28,25,2
110,10011,10002,10017,10128,10128,10036,15,6,2,43,34,22,3
111,10009,10002,10027,10022,10003,10003,20,4,3,19,25,31,4
112,10019,10002,10011,10022,10003,10003,21,4,3,14,20,37,5
113,10003,10003,10280,10002,10002,10003,32,18,2,9,28,37,6
114,10003,10003,10019,10003,10003,10003,42,11,13,7,25,14,0
115,10003,10002,10128,10001,10011,10003,14,2,1,19,18,23,1
116,10003,10007,10019,10001,10001,10003,17,3,3,17,17,31,2
117,10003,10003,10019,10022,10001,10003,22,6,3,15,20,30,3
118,10003,10002,10013,10003,10003,10003,25,8,4,14,26,29,4
119,10003,10012,10028,10001,10011,10003,30,4,4,12,25,32,5
120,10003,10003,10065,10002,10003,10012,26,14,3,7,33,24,6
121,10036,10003,10013,10002,10003,10003,16,10,3,8,26,32,0
122,10012,10014,10003,10003,10003,10003,9,3,3,11,22,34,1
123,10003,10014,10103,10013,10018,10001,23,6,1,5,18,36,2
124,10001,10002,10001,10011,10019,10003,10,6,5,15,29,28,3
125,10003,10001,10023,10001,10003,10003,33,10,5,12,26,35,4
126,10003,10011,10001,10013,10011,10036,33,9,4,29,30,28,5
127,10003,10003,10001,10003,10003,10003,36,13,4,13,23,25,6
128,10002,10003,10022,10002,10003,10003,25,14,1,9,25,23,0
129,10003,10011,10032,10019,10011,10003,16,4,2,12,19,55,1
130,10003,10002,10036,10019,10012,10019,30,5,2,12,19,25,2
131,10012,10002,10019,10019,10019,10019,18,3,4,19,27,27,3
132,10019,10012,10016,10019,10011,10003,19,7,4,19,17,26,4
133,10003,10003,10017,10019,10001,10003,25,7,4,13,21,31,5
134,10003,10003,10020,10014,10003,10003,41,18,2,13,24,30,6
135,10011,10002,10036,10019,10011,10003,29,16,2,20,26,16,0
136,10003,10011,10021,10017,10019,10012,13,4,2,15,21,27,1
137,10003,10036,10011,10001,10001,10003,17,8,3,14,16,32,2
138,10003,10036,10001,10036,10012,10036,26,5,3,17,24,28,3
139,10003,10036,10019,10012,10012,10003,25,6,3,27,30,32,4
140,10003,10011,10016,10003,10019,10001,36,10,3,24,19,26,5
141,10003,10036,10036,10014,10014,10003,45,18,3,13,26,34,6
142,10003,10003,10009,10014,10019,10003,42,13,2,8,19,24,0
